Init_node,Term_node,u_f,Capacity,Length(ft),k_j
201,553,55,2000,6614.240234375,240.0
203,384,60,4000,6953.77001953125,480.0
29,272,55,6000,4213.14013671875,720.0
50,488,70,2000,240878.0,240.0
158,483,70,4000,118707.0,480.0
633,256,70,2000,205714.0,240.0
95,358,65,6000,172207.0,720.0
147,480,70,4000,43383.8984375,480.0
154,422,45,4000,31719.0,480.0
161,486,75,2000,138061.0,240.0
243,169,60,4000,272433.0,480.0
9,24,60,4000,82706.0,480.0
343,344,75,4000,20735.900390625,480.0
342,398,75,2000,1567.569946289062,240.0
343,141,70,2000,98128.8984375,240.0
323,324,55,4000,15721.7001953125,480.0
207,436,70,4000,112027.0,480.0
209,386,70,6000,93313.796875,720.0
213,110,65,12000,161326.0,1440.0
256,175,75,4000,34701.19921875,480.0
240,514,75,4000,135820.0,480.0
334,406,30,2000,27854.099609375,240.0
335,478,45,4000,5942.85986328125,480.0
327,249,70,4000,102373.0,480.0
87,359,55,6000,83693.6015625,720.0
323,16,70,4000,49504.19921875,480.0
227,230,70,2000,16737.099609375,240.0
230,148,65,4000,125299.0,480.0
240,496,65,4000,202462.0,480.0
645,218,75,4000,55591.5,480.0
34,437,70,2000,65339.6015625,240.0
115,221,35,4000,11977.5,480.0
117,375,75,2000,101183.0,240.0
630,580,30,4000,97002.6015625,480.0
73,77,65,2000,15770.599609375,240.0
77,340,75,2000,173534.0,240.0
134,561,55,4000,162458.0,480.0
136,345,70,2000,173387.0,240.0
217,252,70,4000,25439.19921875,480.0
221,626,75,2000,244002.0,240.0
135,117,75,2000,5217.2001953125,240.0
225,72,75,4000,2144.43994140625,480.0
72,572,70,2000,40772.30078125,240.0
76,607,75,2000,124878.0,240.0
221,609,65,4000,77906.6015625,480.0
330,277,70,2000,166727.0,240.0
195,11,55,3000,1407.56005859375,360.0
32,634,60,4000,482.8869934082031,480.0
68,619,55,2000,61872.5,240.0
109,213,65,6000,83707.203125,720.0
111,631,75,2000,153.6269989013672,240.0
113,635,60,2000,12422.0,240.0
264,265,65,2000,34669.69921875,240.0
213,40,45,2000,293798.0,240.0
213,645,75,4000,36597.19921875,480.0
213,383,75,3000,70723.6015625,360.0
71,114,75,4000,91686.703125,480.0
114,464,75,2000,55303.8984375,240.0
634,68,65,4000,101054.0,480.0
634,69,70,12000,17653.0,1440.0
110,71,70,4000,24738.80078125,480.0
342,400,75,2000,41012.80078125,240.0
70,645,55,2000,411.9200134277344,240.0
630,505,75,4000,67125.6015625,480.0
116,111,70,2000,156227.0,240.0
40,635,40,4000,7055.39013671875,480.0
42,336,35,4000,500.9289855957031,480.0
103,642,75,12000,77345.6015625,1440.0
124,131,75,4000,142415.0,480.0
125,528,70,2000,30044.19921875,240.0
315,319,65,4000,11821.099609375,480.0
140,142,70,2000,315.5079956054688,240.0
141,565,70,2000,108718.0,240.0
143,146,75,2000,75.7759017944336,240.0
330,519,75,2000,35377.0,240.0
326,327,55,4000,11502.400390625,480.0
319,320,75,4000,76387.6015625,480.0
327,583,70,2000,80818.296875,240.0
131,224,65,4000,62902.19921875,480.0
236,337,45,4000,2331.929931640625,480.0
121,122,75,2000,80458.703125,240.0
124,125,70,2000,182312.0,240.0
123,121,75,2000,104596.0,240.0
251,342,75,2000,113.8209991455078,240.0
105,344,70,2000,114628.0,240.0
38,343,75,2000,1077.280029296875,240.0
132,224,65,2000,1659.93994140625,240.0
138,339,75,4000,123835.0,480.0
138,144,75,4000,78830.6015625,480.0
318,54,60,2000,18835.599609375,240.0
145,146,75,2000,180896.0,240.0
142,338,70,2000,3902.889892578125,240.0
227,390,55,2000,283.1119995117188,240.0
301,455,55,4000,24851.30078125,480.0
301,148,70,4000,9677.2802734375,480.0
149,306,75,4000,50491.80078125,480.0
302,457,75,4000,15110.2001953125,480.0
316,317,75,4000,122.4209976196289,480.0
317,614,75,4000,11274.2998046875,480.0
149,364,75,4000,124862.0,480.0
246,552,75,2000,52618.80078125,240.0
263,235,70,8000,22385.900390625,960.0
233,447,55,4000,72505.296875,480.0
145,372,75,2000,123320.0,240.0
234,449,35,4000,1805.410034179688,480.0
235,549,65,4000,49088.0,480.0
340,623,55,4000,6883.64990234375,480.0
340,625,75,4000,11303.0,480.0
72,570,75,4000,129056.0,480.0
265,404,75,4000,151740.0,480.0
46,264,65,2000,853.843994140625,240.0
44,45,75,6000,24145.69921875,720.0
30,27,50,6000,32047.5,720.0
348,49,55,4000,541.6279907226562,480.0
51,164,55,2000,31474.30078125,240.0
645,71,55,2000,146927.0,240.0
157,160,70,4000,112122.0,480.0
157,158,70,4000,122.8440017700195,480.0
160,430,55,2000,9460.6796875,240.0
474,650,50,2000,16438.80078125,240.0
50,556,70,4000,55122.80078125,480.0
27,28,55,4000,39335.6015625,480.0
331,57,75,4000,45153.1015625,480.0
322,518,70,4000,57493.6015625,480.0
175,195,75,4000,52143.5,480.0
62,63,60,2000,64172.30078125,240.0
97,446,75,4000,26883.400390625,480.0
17,418,75,2000,141587.0,240.0
174,330,75,2000,88157.703125,240.0
339,239,60,2000,7473.169921875,240.0
237,606,75,8000,17030.30078125,960.0
224,526,65,6000,17793.19921875,720.0
192,637,45,6000,481.4840087890625,720.0
361,391,50,4000,31835.400390625,480.0
146,424,75,2000,138688.0,240.0
337,374,75,2000,30249.19921875,240.0
267,54,70,2000,131188.0,240.0
325,494,75,12000,138371.0,1440.0
127,133,65,6000,39398.1015625,720.0
363,513,55,4000,744.5650024414062,480.0
8,22,55,2000,2417.75,240.0
249,378,75,4000,20770.80078125,480.0
272,666,65,14000,58527.69921875,1680.0
267,328,75,4000,89589.3984375,480.0
89,350,65,4000,80564.0,480.0
164,242,65,2000,29831.30078125,240.0
287,89,65,6000,54391.5,720.0
333,334,70,2000,101009.0,240.0
12,195,65,14000,16016.7001953125,1680.0
334,44,75,4000,119979.0,480.0
167,639,70,3000,312.2619934082031,360.0
474,288,50,2000,50823.19921875,240.0
474,102,50,2000,59576.0,240.0
242,403,60,4000,44134.80078125,480.0
87,88,55,4000,20155.69921875,480.0
8,9,65,2000,107113.0,240.0
188,78,65,4000,61622.8984375,480.0
79,190,65,2000,57780.69921875,240.0
186,187,60,2000,123384.0,240.0
188,189,60,2000,113109.0,240.0
23,353,65,4000,503.0090026855469,480.0
36,37,55,6000,26492.099609375,720.0
274,542,65,4000,41042.3984375,480.0
81,646,65,8000,26940.0,960.0
338,643,50,2000,4974.419921875,240.0
338,604,75,4000,15196.5,480.0
66,352,60,4000,252.8190002441406,480.0
339,144,75,4000,67953.3984375,480.0
21,8,60,2000,36602.5,240.0
190,191,65,2000,103941.0,240.0
636,212,45,4000,829.3599853515625,480.0
14,185,65,4000,881.9310302734375,480.0
78,79,75,2000,26659.19921875,240.0
205,640,75,4000,64038.8984375,480.0
322,86,60,2000,121871.0,240.0
25,531,55,4000,7576.97998046875,480.0
325,468,70,2000,160458.0,240.0
16,416,70,2000,63013.6015625,240.0
85,323,55,4000,11200.099609375,480.0
344,106,70,2000,46693.8984375,240.0
344,39,70,4000,45.40010070800781,480.0
211,510,75,4000,687.2550048828125,480.0
294,421,70,4000,16141.099609375,480.0
1,576,55,4000,4591.91015625,480.0
211,636,60,4000,36589.3984375,480.0
277,329,55,4000,18835.5,480.0
18,19,70,4000,82714.296875,480.0
293,19,45,2000,329.8290100097656,240.0
144,103,65,6000,53828.1015625,720.0
20,593,75,4000,3875.25,480.0
20,18,55,4000,28123.80078125,480.0
205,591,55,2000,9465.33984375,240.0
336,597,65,2000,12148.2001953125,240.0
336,145,75,2000,12237.2001953125,240.0
57,256,75,4000,44056.6015625,480.0
331,366,40,2000,114493.0,240.0
255,633,60,2000,361.9070129394531,240.0
63,633,65,2000,10763.599609375,240.0
283,379,65,4000,701.14501953125,480.0
27,31,55,6000,2047.329956054688,720.0
282,381,45,4000,6014.4599609375,480.0
631,114,75,2000,124082.0,240.0
283,282,45,4000,9056.919921875,480.0
332,360,65,14000,66077.8984375,1680.0
12,286,65,4000,83290.6015625,480.0
56,57,65,2000,87564.8984375,240.0
10,12,65,6000,2174.580078125,720.0
285,286,65,2000,15120.900390625,240.0
637,636,50,3000,41461.1015625,360.0
636,638,55,2000,18532.900390625,240.0
637,321,70,4000,122830.0,480.0
324,86,55,4000,24702.19921875,480.0
320,310,75,4000,44847.0,480.0
321,322,40,4000,3897.2900390625,480.0
310,644,55,2000,24579.80078125,240.0
60,612,55,4000,116288.0,480.0
320,328,75,4000,171837.0,480.0
317,318,60,4000,124.2239990234375,480.0
324,17,75,2000,41315.5,240.0
54,319,55,3000,12914.5,360.0
176,312,65,2000,238016.0,240.0
631,218,75,8000,39375.19921875,960.0
312,407,55,4000,1221.619995117188,480.0
629,176,55,2000,12175.7998046875,240.0
257,97,65,4000,20946.69921875,480.0
2,3,70,4000,70942.8984375,480.0
314,316,75,2000,114165.0,240.0
314,210,75,4000,99640.296875,480.0
3,203,55,4000,16231.7998046875,480.0
106,343,75,6000,53686.5,720.0
155,43,60,2000,21163.69921875,240.0
43,586,55,2000,154762.0,240.0
252,560,70,2000,45190.8984375,240.0
345,340,75,4000,101724.0,480.0
345,137,70,2000,166920.0,240.0
217,106,75,6000,162033.0,720.0
346,433,55,3000,120980.0,360.0
346,431,70,2000,5029.2998046875,240.0
347,230,70,3000,81240.796875,360.0
348,157,70,4000,21654.19921875,480.0
242,166,65,2000,326.9880065917969,240.0
350,657,65,10000,40126.69921875,1200.0
350,662,60,4000,29861.69921875,480.0
351,102,65,10000,776.301025390625,1200.0
352,670,65,12000,73526.6015625,1440.0
352,81,65,8000,45307.30078125,960.0
353,669,50,6000,4972.75,720.0
353,36,65,6000,34698.69921875,720.0
36,24,65,6000,49845.5,720.0
37,354,60,6000,29047.69921875,720.0
354,472,60,4000,133332.0,480.0
355,395,60,2000,33150.30078125,240.0
355,550,75,8000,61401.1015625,960.0
356,594,70,2000,116849.0,240.0
357,596,75,4000,25333.80078125,480.0
357,481,75,4000,83693.296875,480.0
358,661,65,12000,6024.830078125,1440.0
358,664,60,8000,70152.6015625,960.0
359,545,65,6000,31257.400390625,720.0
359,547,55,4000,119066.0,480.0
272,359,65,4000,42906.3984375,480.0
360,676,75,12000,55977.8984375,1440.0
360,473,65,6000,7191.66015625,720.0
362,296,50,2000,493.9580078125,240.0
364,150,30,2000,4593.31005859375,240.0
365,364,55,4000,62296.8984375,480.0
366,173,65,4000,39746.6015625,480.0
367,366,75,6000,22417.400390625,720.0
368,173,45,4000,1436.43994140625,480.0
367,368,35,2000,35648.3984375,240.0
369,347,70,3000,86050.6015625,360.0
370,369,55,4000,14152.7001953125,480.0
371,388,70,2000,96456.8984375,240.0
370,371,70,2000,78040.8984375,240.0
372,337,35,4000,129.4969940185547,480.0
373,372,75,4000,29969.900390625,480.0
374,338,75,4000,98121.6015625,480.0
373,374,75,2000,9380.4501953125,240.0
375,507,75,2000,6085.35009765625,240.0
376,375,75,2000,35243.80078125,240.0
376,116,45,2000,130730.0,240.0
377,249,70,2000,22024.900390625,240.0
378,502,75,4000,100943.0,480.0
377,378,70,2000,6127.89013671875,240.0
379,285,65,2000,1012.609985351562,240.0
380,379,75,2000,54059.19921875,240.0
381,280,75,2000,53352.30078125,240.0
380,381,75,2000,57100.6015625,240.0
382,218,75,4000,24945.30078125,480.0
383,218,75,4000,21465.099609375,480.0
382,383,75,2000,13143.400390625,240.0
384,414,55,3000,67559.3984375,360.0
385,384,75,2000,113887.0,240.0
386,434,70,6000,26250.099609375,720.0
387,386,60,2000,70551.796875,240.0
388,227,55,2000,13536.0,240.0
389,388,65,2000,740.1950073242188,240.0
390,336,65,2000,147598.0,240.0
389,390,70,2000,12105.7001953125,240.0
391,62,75,2000,174505.0,240.0
392,391,60,4000,11132.5,480.0
392,296,75,2000,115214.0,240.0
393,246,40,4000,41216.19921875,480.0
394,3,45,4000,8682.0,480.0
394,203,30,3000,18421.80078125,360.0
395,579,70,2000,181697.0,240.0
