,From,To,Capacity,Length (ft),u_f (mph),k_j (veh/mi)
0,2,359,5000,62296.8984375,70,480.0
1,3,360,5000,22417.400390625,70,720.0
2,3,361,5000,35648.3984375,70,240.0
3,4,362,5000,14152.7001953125,70,480.0
4,4,363,5000,78040.8984375,70,240.0
5,5,364,5000,29969.900390625,70,480.0
6,5,365,5000,9380.4501953125,70,240.0
7,6,195,5000,130730.0,70,240.0
8,6,366,5000,35243.80078125,70,240.0
9,7,280,5000,22024.900390625,70,240.0
10,7,367,5000,6127.89013671875,70,240.0
11,8,368,5000,54059.19921875,70,240.0
12,8,369,5000,57100.6015625,70,240.0
13,9,262,5000,24945.30078125,70,480.0
14,9,370,5000,13143.400390625,70,240.0
15,10,371,5000,113887.0,70,240.0
16,11,372,5000,70551.796875,70,240.0
17,12,373,5000,740.1950073242188,70,240.0
18,12,374,5000,12105.7001953125,70,240.0
19,13,304,5000,115214.0,70,240.0
20,13,375,5000,11132.5,70,480.0
21,14,279,5000,41216.19921875,70,480.0
22,15,113,5000,8682.0,70,480.0
23,15,251,5000,18421.80078125,70,360.0
24,16,376,5000,52049.69921875,70,480.0
25,16,377,5000,913.6900024414062,70,240.0
26,17,378,5000,39455.8984375,70,240.0
27,17,379,5000,2648.860107421875,70,240.0
28,18,380,5000,28355.30078125,70,240.0
29,18,381,5000,23623.5,70,240.0
30,19,382,5000,10859.599609375,70,240.0
31,19,383,5000,8573.58984375,70,240.0
32,20,384,5000,6583.5498046875,70,480.0
33,20,385,5000,20948.0,70,240.0
34,21,386,5000,18760.69921875,70,120.0
35,22,327,5000,109724.0,70,240.0
36,22,387,5000,1227.699951171875,70,240.0
37,23,388,5000,155313.0,70,240.0
38,24,389,5000,121440.0,70,480.0
39,24,390,5000,6630.2001953125,70,360.0
40,25,182,5000,73759.203125,70,480.0
41,25,185,5000,54966.0,70,480.0
42,25,186,5000,48002.0,70,480.0
43,26,303,5000,16287.2998046875,70,240.0
44,26,391,5000,2550.010009765625,70,240.0
45,27,392,5000,105513.0,70,480.0
46,28,275,5000,59317.6015625,70,360.0
47,28,393,5000,14288.400390625,70,240.0
48,29,394,5000,87211.5,70,240.0
49,29,395,5000,61539.3984375,70,240.0
50,30,229,5000,34213.8984375,70,240.0
51,30,396,5000,29364.099609375,70,240.0
52,31,397,5000,119655.0,70,240.0
53,31,398,5000,11560.099609375,70,240.0
54,32,399,5000,36554.8984375,70,240.0
55,32,400,5000,11148.5,70,240.0
56,33,201,5000,45210.19921875,70,240.0
57,33,401,5000,6310.31982421875,70,240.0
58,34,402,5000,58943.3984375,70,240.0
59,35,176,5000,68542.703125,70,480.0
60,35,403,5000,24728.5,70,480.0
61,36,198,5000,66476.703125,70,480.0
62,36,200,5000,68902.3984375,70,480.0
63,37,404,5000,65411.30078125,70,480.0
64,37,405,5000,92401.203125,70,240.0
65,38,406,5000,15678.599609375,70,480.0
66,38,407,5000,57578.80078125,70,480.0
67,39,402,5000,40341.6015625,70,240.0
68,39,408,5000,12649.099609375,70,240.0
69,40,224,5000,74324.5,70,240.0
70,40,288,5000,105514.0,70,480.0
71,41,409,5000,105218.0,70,480.0
72,42,410,5000,15018.599609375,70,480.0
73,42,411,5000,6408.10009765625,70,240.0
74,43,412,5000,12040.0,70,240.0
75,43,413,5000,156956.0,70,240.0
76,44,414,5000,21078.099609375,70,240.0
77,44,415,5000,158229.0,70,240.0
78,45,163,5000,94122.1015625,70,240.0
