,New_ID,ID,COUNTY
0,1,999999,Sink Node
1,2,365,Calhoun
2,3,367,Orange
3,4,370,Gonzales
4,5,373,Refugio
5,6,376,Jim Hogg
6,7,377,Brazos
7,8,380,Jefferson
8,9,382,Hidalgo
9,10,385,Delta
10,11,387,Rockwall
11,12,389,DeWitt
12,13,392,Angelina
13,14,393,McLennan
14,15,394,Lamar
15,16,396,Leon
16,17,399,McMullen
17,18,402,Fort Bend
18,19,405,Fayette
19,20,408,Harrison
20,21,411,Washington
21,22,412,Sabine
22,23,415,Hopkins
23,24,417,Houston
24,25,419,Bexar
25,26,420,Rusk
26,27,423,Comal
27,28,425,Aransas
28,29,427,San Jacinto
29,30,429,Wharton
30,31,432,Karnes
31,32,435,Kaufman
32,33,438,Duval
33,34,440,Franklin
34,35,442,Waller
35,36,443,Kleberg
36,37,445,Bowie
37,38,448,Caldwell
38,39,450,Titus
39,40,452,Hays
40,41,454,Medina
41,42,456,Victoria
42,43,459,Tyler
43,44,462,Falls
44,45,465,Willacy
45,46,467,Henderson
46,47,470,Walker
47,48,471,Galveston
48,49,474,Harris
49,50,477,Nacogdoches
50,51,479,Guadalupe
51,52,482,Jackson
52,53,485,Frio
53,54,487,Colorado
54,55,490,Shelby
55,56,492,Cass
56,57,495,Ellis
57,58,497,Williamson
58,59,499,Van Zandt
59,60,501,Grimes
60,61,504,Navarro
61,62,506,Brooks
62,63,509,Wood
63,64,512,Polk
64,65,515,Lee
65,66,517,Cherokee
66,67,520,San Augustine
67,68,522,Madison
68,69,524,Milam
69,70,527,Nueces
70,71,530,Camp
71,72,532,Freestone
72,73,534,Marion
73,74,537,Liberty
74,75,539,Jasper
75,76,541,Chambers
76,77,544,Hardin
77,78,546,Brazoria
78,79,548,Bastrop
79,80,551,Limestone
80,81,554,Red River
81,82,557,Matagorda
82,83,559,Live Oak
83,84,562,Atascosa
84,85,564,Wilson
85,86,567,Starr
86,87,569,Dallas
87,88,571,La Salle
88,89,574,Austin
89,90,577,Smith
90,91,578,Robertson
91,92,581,Kenedy
92,93,584,Burleson
93,94,587,Bee
94,95,589,Trinity
95,96,592,Gregg
96,97,595,Lavaca
97,98,598,Goliad
98,99,599,Morris
99,100,602,Upshur
100,101,605,San Patricio
101,102,608,Webb
102,103,611,Newton
103,104,613,Panola
104,105,616,Anderson
105,106,618,Cameron
106,107,621,Montgomery
107,108,624,Jim Wells
108,109,627,Zapata
109,110,628,Travis
0,111,1,Interchange
1,112,2,Safe Node
2,113,3,Interchange
3,114,8,Interchange
4,115,9,Interchange
5,116,10,Interchange
6,117,11,Interchange
7,118,12,Interchange
8,119,14,Interchange
9,120,16,Interchange
10,121,17,Interchange
11,122,18,Interchange
12,123,19,Interchange
13,124,20,Interchange
14,125,21,Interchange
15,126,22,Interchange
16,127,23,Interchange
17,128,24,Interchange
18,129,25,Interchange
19,130,26,Interchange
20,131,27,Interchange
21,132,28,Interchange
22,133,29,Interchange
23,134,30,Interchange
24,135,31,Interchange
25,136,32,Interchange
26,137,33,Interchange
27,138,34,Interchange
28,139,36,Interchange
29,140,37,Interchange
30,141,38,Interchange
31,142,39,Interchange
32,143,40,Interchange
33,144,41,Interchange
34,145,42,Interchange
35,146,43,Interchange
36,147,44,Interchange
37,148,45,Interchange
38,149,46,Interchange
39,150,49,Interchange
40,151,50,Interchange
41,152,51,Interchange
42,153,54,Interchange
43,154,56,Interchange
44,155,57,Interchange
45,156,60,Interchange
46,157,62,Interchange
47,158,63,Interchange
48,159,66,Interchange
49,160,68,Interchange
50,161,69,Interchange
51,162,70,Interchange
52,163,71,Interchange
53,164,72,Safe Node
54,165,73,Interchange
55,166,76,Safe Node
56,167,77,Interchange
57,168,78,Interchange
58,169,79,Interchange
59,170,81,Interchange
60,171,82,Interchange
61,172,85,Interchange
62,173,86,Interchange
63,174,87,Interchange
64,175,88,Interchange
65,176,89,Interchange
66,177,95,Interchange
67,178,96,Safe Node
68,179,97,Interchange
69,180,99,Safe Node
70,181,100,Interchange
71,182,101,Safe Node
72,183,102,Interchange
73,184,103,Interchange
74,185,104,Safe Node
75,186,105,Safe Node
76,187,106,Interchange
77,188,109,Interchange
78,189,110,Interchange
79,190,111,Interchange
80,191,112,Interchange
81,192,113,Interchange
82,193,114,Interchange
83,194,115,Safe Node
84,195,116,Interchange
85,196,117,Interchange
86,197,118,Interchange
87,198,120,Interchange
88,199,121,Interchange
89,200,122,Interchange
90,201,123,Interchange
91,202,124,Interchange
92,203,125,Interchange
93,204,127,Interchange
94,205,131,Interchange
95,206,132,Interchange
96,207,133,Interchange
97,208,134,Safe Node
98,209,135,Interchange
99,210,136,Interchange
100,211,137,Interchange
101,212,138,Interchange
102,213,140,Interchange
103,214,141,Interchange
104,215,142,Interchange
105,216,143,Interchange
106,217,144,Interchange
107,218,145,Interchange
108,219,146,Interchange
109,220,147,Safe Node
110,221,148,Interchange
111,222,149,Interchange
112,223,150,Interchange
113,224,154,Safe Node
114,225,155,Interchange
115,226,157,Interchange
116,227,158,Interchange
117,228,160,Interchange
118,229,161,Interchange
119,230,164,Interchange
120,231,166,Interchange
121,232,167,Interchange
122,233,169,Interchange
123,234,173,Interchange
124,235,174,Interchange
125,236,175,Interchange
126,237,176,Interchange
127,238,181,Interchange
128,239,185,Interchange
129,240,186,Interchange
130,241,187,Interchange
131,242,188,Interchange
132,243,189,Interchange
133,244,190,Interchange
134,245,191,Interchange
135,246,192,Interchange
136,247,193,Interchange
137,248,195,Interchange
138,249,201,Safe Node
139,250,202,Interchange
140,251,203,Interchange
141,252,204,Interchange
142,253,205,Interchange
143,254,206,Interchange
144,255,207,Safe Node
145,256,209,Safe Node
146,257,210,Interchange
147,258,211,Interchange
148,259,212,Interchange
149,260,213,Interchange
150,261,217,Interchange
151,262,218,Interchange
152,263,221,Interchange
153,264,222,Interchange
154,265,224,Interchange
155,266,225,Safe Node
156,267,226,Safe Node
157,268,227,Interchange
158,269,230,Interchange
159,270,233,Interchange
160,271,234,Interchange
161,272,235,Interchange
162,273,236,Interchange
163,274,237,Interchange
164,275,239,Interchange
165,276,240,Interchange
166,277,242,Interchange
167,278,243,Interchange
